layer,q_head,chosen_budget,best_l2
26,6,DENSE,nan
26,7,DENSE,nan
26,8,DENSE,nan
26,9,DENSE,nan
26,10,DENSE,nan
26,11,DENSE,nan
26,12,DENSE,nan
26,13,DENSE,nan
26,14,DENSE,nan
26,15,DENSE,nan
27,0,BLOCK_SPARSE@0.200,0.0831
27,1,DENSE,0.10558982193470001
27,2,BLOCK_SPARSE@0.200,0.0805
27,3,DENSE,0.10164721310138702
27,4,BLOCK_SPARSE@0.050,0.0406
27,5,BLOCK_SPARSE@0.050,0.0460
27,6,BLOCK_SPARSE@0.050,0.0411
27,7,BLOCK_SPARSE@0.050,0.0260
27,8,DENSE,0.10373298823833466
27,9,BLOCK_SPARSE@0.100,0.0853
27,10,BLOCK_SPARSE@0.400,0.0973
27,11,BLOCK_SPARSE@0.400,0.0971
27,12,BLOCK_SPARSE@0.100,0.0975
27,13,BLOCK_SPARSE@0.200,0.0863
27,14,BLOCK_SPARSE@0.100,0.0730
27,15,BLOCK_SPARSE@0.100,0.0851
28,0,DENSE,nan
28,1,DENSE,nan
28,2,DENSE,nan
28,3,DENSE,nan
28,4,DENSE,nan
28,5,DENSE,nan
28,6,DENSE,nan
28,7,DENSE,nan
28,8,DENSE,nan
28,9,DENSE,nan
28,10,DENSE,nan
28,11,DENSE,nan
28,12,DENSE,nan
28,13,DENSE,nan
28,14,DENSE,nan
28,15,DENSE,nan
29,0,DENSE,nan
29,1,DENSE,nan
29,2,DENSE,nan
29,3,DENSE,nan
29,4,DENSE,nan
29,5,DENSE,nan
29,6,DENSE,nan
29,7,DENSE,nan
29,8,DENSE,nan
29,9,DENSE,nan
29,10,DENSE,nan
29,11,DENSE,nan
29,12,DENSE,nan
29,13,DENSE,nan
29,14,DENSE,nan
29,15,DENSE,nan
30,0,DENSE,nan
30,1,DENSE,nan
30,2,DENSE,nan
30,3,DENSE,nan
30,4,DENSE,nan
30,5,DENSE,nan
30,6,DENSE,nan
30,7,DENSE,nan
30,8,DENSE,nan
30,9,DENSE,nan
30,10,DENSE,nan
30,11,DENSE,nan
30,12,DENSE,nan
30,13,DENSE,nan
30,14,DENSE,nan
30,15,DENSE,nan
31,0,BLOCK_SPARSE@0.050,0.0465
31,1,BLOCK_SPARSE@0.050,0.0442
31,2,BLOCK_SPARSE@0.050,0.0521
31,3,BLOCK_SPARSE@0.050,0.0460
31,4,BLOCK_SPARSE@0.050,0.0381
31,5,BLOCK_SPARSE@0.050,0.0380
31,6,BLOCK_SPARSE@0.050,0.0652
31,7,BLOCK_SPARSE@0.050,0.0318
31,8,BLOCK_SPARSE@0.050,0.0607
31,9,BLOCK_SPARSE@0.050,0.0959
31,10,BLOCK_SPARSE@0.050,0.0709
31,11,BLOCK_SPARSE@0.200,0.0498
31,12,BLOCK_SPARSE@0.050,0.0715
31,13,BLOCK_SPARSE@0.050,0.0431
31,14,BLOCK_SPARSE@0.050,0.0557
31,15,BLOCK_SPARSE@0.050,0.0466
32,0,DENSE,nan
32,1,DENSE,nan
32,2,DENSE,nan
32,3,DENSE,nan
32,4,DENSE,nan
32,5,DENSE,nan
32,6,DENSE,nan
32,7,DENSE,nan
32,8,DENSE,nan
32,9,DENSE,nan
32,10,DENSE,nan
32,11,DENSE,nan
32,12,DENSE,nan
32,13,DENSE,nan
32,14,DENSE,nan
32,15,DENSE,nan
33,0,DENSE,nan
33,1,DENSE,nan
33,2,DENSE,nan
33,3,DENSE,nan
33,4,DENSE,nan
33,5,DENSE,nan
33,6,DENSE,nan
33,7,DENSE,nan
33,8,DENSE,nan
33,9,DENSE,nan
33,10,DENSE,nan
33,11,DENSE,nan
33,12,DENSE,nan
33,13,DENSE,nan
33,14,DENSE,nan
33,15,DENSE,nan
34,0,DENSE,nan
34,1,DENSE,nan
34,2,DENSE,nan
34,3,DENSE,nan
34,4,DENSE,nan
34,5,DENSE,nan
34,6,DENSE,nan
34,7,DENSE,nan
34,8,DENSE,nan
34,9,DENSE,nan
34,10,DENSE,nan
34,11,DENSE,nan
34,12,DENSE,nan
34,13,DENSE,nan
34,14,DENSE,nan
34,15,DENSE,nan
35,0,DENSE,nan
35,1,DENSE,nan
35,2,DENSE,nan
35,3,DENSE,nan
35,4,DENSE,nan
35,5,DENSE,nan
35,6,DENSE,nan
